timestamp, uuid, memory.used [MiB], memory.free [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/21 03:24:45.693, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 318.89, 47
2026/09/21 03:24:45.944, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 318.79, 47
2026/09/21 03:24:46.194, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 319.09, 47
2026/09/21 03:24:46.444, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14867, 82384, 96, 318.93, 47
2026/09/21 03:24:46.694, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14899, 82352, 96, 318.76, 47
2026/09/21 03:24:46.944, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14899, 82352, 96, 318.75, 47
2026/09/21 03:24:47.194, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14899, 82352, 96, 318.33, 48
2026/09/21 03:24:47.444, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14899, 82352, 96, 318.51, 48
2026/09/21 03:24:47.694, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14899, 82352, 96, 318.50, 48
2026/09/21 03:24:47.944, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14899, 82352, 96, 318.62, 48
2026/09/21 03:24:48.194, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14899, 82352, 96, 318.99, 48
2026/09/21 03:24:48.444, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14899, 82352, 96, 319.01, 48
2026/09/21 03:24:48.694, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14899, 82352, 96, 319.14, 48
2026/09/21 03:24:48.944, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14899, 82352, 96, 319.12, 48
2026/09/21 03:24:49.195, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14899, 82352, 96, 319.00, 48
2026/09/21 03:24:49.445, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14899, 82352, 96, 318.88, 48
2026/09/21 03:24:49.695, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14899, 82352, 96, 318.92, 48
2026/09/21 03:24:49.945, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14899, 82352, 96, 319.08, 48
2026/09/21 03:24:50.195, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14899, 82352, 96, 319.06, 48
2026/09/21 03:24:50.445, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14899, 82352, 96, 319.03, 48
2026/09/21 03:24:50.695, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14899, 82352, 96, 319.18, 48
2026/09/21 03:24:50.945, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14899, 82352, 96, 319.30, 48
2026/09/21 03:24:51.195, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14899, 82352, 96, 319.13, 48
2026/09/21 03:24:51.445, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 14899, 82352, 96, 318.90, 48
