arm,model,shape,phase,relative_pc,sass,instructions_executed,conflict_degree,actual_wavefronts,ideal_wavefronts,excess_wavefronts
baseline,q27,764,q_ldmatrix,0x0012b0,"LDSM.16.M88.4 R88, [R88]",1152,32,36864,4608,32256
baseline,q27,764,q_ldmatrix,0x0012f0,"LDSM.16.M88.4 R96, [R96]",1152,32,36864,4608,32256
baseline,q27,764,q_ldmatrix,0x001340,"LDSM.16.M88.4 R100, [R100]",1152,32,36864,4608,32256
baseline,q27,764,q_ldmatrix,0x001390,"LDSM.16.M88.4 R104, [R104]",1152,32,36864,4608,32256
baseline,q27,764,q_ldmatrix,0x001430,"LDSM.16.M88.4 R108, [R108]",1152,32,36864,4608,32256
baseline,q27,764,k_ldmatrix,0x0031d0,"LDSM.16.M88.4 R40, [R40]",162432,32,5197824,649728,4548096
baseline,q27,764,k_ldmatrix,0x0031e0,"LDSM.16.M88.4 R44, [R44]",162432,32,5197824,649728,4548096
baseline,q27,764,k_ldmatrix,0x003280,"LDSM.16.M88.4 R40, [R42]",162432,32,5197824,649728,4548096
baseline,q27,764,k_ldmatrix,0x003310,"LDSM.16.M88.4 R112, [R112]",162432,32,5197824,649728,4548096
baseline,q27,764,k_ldmatrix,0x003390,"LDSM.16.M88.4 R44, [R44]",162432,32,5197824,649728,4548096
baseline,q27,764,k_ldmatrix,0x003400,"LDSM.16.M88.4 R40, [R40]",162432,32,5197824,649728,4548096
baseline,q27,764,k_ldmatrix,0x003490,"LDSM.16.M88.4 R44, [R44]",162432,32,5197824,649728,4548096
baseline,q27,764,k_ldmatrix,0x003540,"LDSM.16.M88.4 R40, [R40]",162432,32,5197824,649728,4548096
baseline,q27,764,k_ldmatrix,0x0035d0,"LDSM.16.M88.4 R44, [R44]",162432,32,5197824,649728,4548096
baseline,q27,764,k_ldmatrix,0x0036a0,"LDSM.16.M88.4 R40, [R40]",162432,32,5197824,649728,4548096
baseline,q27,764,k_ldmatrix,0x0036f0,"LDSM.16.M88.4 R44, [R44]",162432,32,5197824,649728,4548096
baseline,q27,764,k_ldmatrix,0x0037e0,"LDSM.16.M88.4 R40, [R40]",162432,32,5197824,649728,4548096
baseline,q27,764,k_ldmatrix,0x003810,"LDSM.16.M88.4 R44, [R44]",162432,32,5197824,649728,4548096
baseline,q27,764,k_ldmatrix,0x003900,"LDSM.16.M88.4 R40, [R40]",162432,32,5197824,649728,4548096
baseline,q27,764,k_ldmatrix,0x003930,"LDSM.16.M88.4 R44, [R44]",162432,32,5197824,649728,4548096
baseline,q27,764,k_ldmatrix,0x003a20,"LDSM.16.M88.4 R40, [R40]",162432,32,5197824,649728,4548096
