timestamp, uuid, name, index, memory.total [MiB], memory.used [MiB], utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], temperature.gpu
2026/09/20 03:52:42.486, GPU-f9f892ec-ab88-822a-0054-e9c2e7bf591f, NVIDIA RTX PRO 6000 Blackwell Server Edition, 3, 97887 MiB, 0 MiB, 0 %, 34.58 W, 180 MHz, 28
2026/09/20 03:52:42.736, GPU-25877c8d-b222-b270-400d-aca5a809f23c, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 97887 MiB, 1075 MiB, 1 %, 88.13 W, 2392 MHz, 31
2026/09/20 03:52:42.736, GPU-c2a89142-c177-b92a-1366-d58822694f0a, NVIDIA RTX PRO 6000 Blackwell Server Edition, 1, 97887 MiB, 0 MiB, 0 %, 34.59 W, 180 MHz, 28
2026/09/20 03:52:42.736, GPU-554f7aeb-578c-187f-4f29-af06f2170507, NVIDIA RTX PRO 6000 Blackwell Server Edition, 2, 97887 MiB, 0 MiB, 0 %, 35.08 W, 180 MHz, 27
2026/09/20 03:52:42.736, GPU-f9f892ec-ab88-822a-0054-e9c2e7bf591f, NVIDIA RTX PRO 6000 Blackwell Server Edition, 3, 97887 MiB, 0 MiB, 0 %, 34.49 W, 180 MHz, 28
2026/09/20 03:52:42.986, GPU-25877c8d-b222-b270-400d-aca5a809f23c, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 97887 MiB, 1619 MiB, 1 %, 88.26 W, 2392 MHz, 31
2026/09/20 03:52:42.986, GPU-c2a89142-c177-b92a-1366-d58822694f0a, NVIDIA RTX PRO 6000 Blackwell Server Edition, 1, 97887 MiB, 0 MiB, 0 %, 34.59 W, 180 MHz, 28
2026/09/20 03:52:42.986, GPU-554f7aeb-578c-187f-4f29-af06f2170507, NVIDIA RTX PRO 6000 Blackwell Server Edition, 2, 97887 MiB, 0 MiB, 0 %, 35.08 W, 180 MHz, 27
2026/09/20 03:52:42.986, GPU-f9f892ec-ab88-822a-0054-e9c2e7bf591f, NVIDIA RTX PRO 6000 Blackwell Server Edition, 3, 97887 MiB, 0 MiB, 0 %, 34.49 W, 180 MHz, 28
2026/09/20 03:52:43.236, GPU-25877c8d-b222-b270-400d-aca5a809f23c, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 97887 MiB, 1619 MiB, 0 %, 89.92 W, 2392 MHz, 31
2026/09/20 03:52:43.236, GPU-c2a89142-c177-b92a-1366-d58822694f0a, NVIDIA RTX PRO 6000 Blackwell Server Edition, 1, 97887 MiB, 0 MiB, 0 %, 34.59 W, 180 MHz, 28
2026/09/20 03:52:43.236, GPU-554f7aeb-578c-187f-4f29-af06f2170507, NVIDIA RTX PRO 6000 Blackwell Server Edition, 2, 97887 MiB, 0 MiB, 0 %, 35.08 W, 180 MHz, 27
2026/09/20 03:52:43.236, GPU-f9f892ec-ab88-822a-0054-e9c2e7bf591f, NVIDIA RTX PRO 6000 Blackwell Server Edition, 3, 97887 MiB, 0 MiB, 0 %, 34.49 W, 180 MHz, 28
2026/09/20 03:52:43.486, GPU-25877c8d-b222-b270-400d-aca5a809f23c, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 97887 MiB, 1619 MiB, 0 %, 89.66 W, 2392 MHz, 31
2026/09/20 03:52:43.486, GPU-c2a89142-c177-b92a-1366-d58822694f0a, NVIDIA RTX PRO 6000 Blackwell Server Edition, 1, 97887 MiB, 0 MiB, 0 %, 34.59 W, 180 MHz, 28
2026/09/20 03:52:43.486, GPU-554f7aeb-578c-187f-4f29-af06f2170507, NVIDIA RTX PRO 6000 Blackwell Server Edition, 2, 97887 MiB, 0 MiB, 0 %, 35.08 W, 180 MHz, 27
2026/09/20 03:52:43.487, GPU-f9f892ec-ab88-822a-0054-e9c2e7bf591f, NVIDIA RTX PRO 6000 Blackwell Server Edition, 3, 97887 MiB, 0 MiB, 0 %, 34.49 W, 180 MHz, 28
2026/09/20 03:52:43.737, GPU-25877c8d-b222-b270-400d-aca5a809f23c, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 97887 MiB, 1 MiB, 3 %, 97.11 W, 2392 MHz, 31
2026/09/20 03:52:43.747, GPU-c2a89142-c177-b92a-1366-d58822694f0a, NVIDIA RTX PRO 6000 Blackwell Server Edition, 1, 97887 MiB, 0 MiB, 0 %, 34.57 W, 180 MHz, 29
2026/09/20 03:52:43.747, GPU-554f7aeb-578c-187f-4f29-af06f2170507, NVIDIA RTX PRO 6000 Blackwell Server Edition, 2, 97887 MiB, 0 MiB, 0 %, 35.07 W, 180 MHz, 27
2026/09/20 03:52:43.747, GPU-f9f892ec-ab88-822a-0054-e9c2e7bf591f, NVIDIA RTX PRO 6000 Blackwell Server Edition, 3, 97887 MiB, 0 MiB, 0 %, 34.55 W, 180 MHz, 28
